NUMERO_FACTURA;FECHA_COMPRA;VALOR;DESCUENTO;IVA;VALOR_TOTAL;SUCURSAL_NOMBRE;SUCURSAL_CIUDAD;SUCURSUAL_DIRECCION;CORREO_CLIENTE
951961;2018-06-09;21144;60;4;5542817;Dovetail;Julayjilah;67 Southridge Plaza;rbooij11@washington.edu
943268;2018-02-15;604223;32;4;2283034;International;Malvern;83638 Northland Trail;jchatters12@dailymotion.com
227870;2018-07-12;258586;24;2;8394492;Clarendon;Longcun;5568 Cordelia Street;jmccrisken13@vkontakte.ru
700274;2017-12-05;291286;1;1;7776004;Brickson Park;Pyhäntä;5 Springs Road;rthreadkell14@bizjournals.com
317986;2018-03-19;300255;7;2;7497014;Swallow;Tōgane;1 Summit Lane;svarne15@cargocollective.com
976085;2018-03-17;616729;17;1;6864447;Everett;Cabuyao;40 American Ash Circle;ltanfield16@dailymotion.com
875020;2018-08-22;444820;54;4;3670803;Michigan;Banqiao;5 Esch Hill;rpestridge17@thetimes.co.uk
462279;2018-02-09;705778;37;5;1629766;Jackson;Qingxi;371 Manitowish Trail;pstubbin18@cbc.ca
660554;2018-08-28;865076;47;2;5892660;High Crossing;Asquipata;12416 Stang Trail;scobden19@wsj.com
854253;2018-04-01;884064;13;5;6977412;Pierstorff;Espinillo;34713 Brown Plaza;fgilburt1a@google.co.uk
412110;2018-11-17;11217;20;2;5932901;Dahle;Manola;75 Jana Junction;glorent1b@bigcartel.com
324083;2018-07-08;821015;35;2;4279487;Harbort;Kuala Lumpur;16579 Maple Wood Trail;cvalentim1c@addthis.com
847912;2018-06-21;349294;49;5;9047531;David;Godziszów Pierwszy;8 Surrey Hill;gbodemeaid1d@elpais.com
316732;2018-03-19;767457;30;1;8239229;Oneill;Fujieda;4468 Chinook Circle;lsteutly1e@digg.com
368296;2018-04-08;371863;32;4;9244506;Main;Viana;51 Algoma Road;bcapey1f@usa.gov
218215;2017-12-08;77797;10;2;1614338;Eliot;Ciguna;93022 7th Point;aboshell1g@printfriendly.com
354327;2018-06-30;812673;59;2;37313;Redwing;Alice;89475 David Drive;jcabrales1h@ow.ly
764218;2018-02-25;931389;41;4;6998131;Oakridge;Sabang;189 High Crossing Terrace;jhellicar1i@godaddy.com
344652;2018-03-23;137721;25;4;3987323;Rockefeller;Fram;148 Rowland Drive;dimesson1j@vistaprint.com
467109;2018-11-20;631810;26;2;827688;Dawn;Belén;22 Springview Road;mhanigan1k@w3.org
17963;2018-04-09;494768;12;2;6242903;Chive;Klenica;06 Kropf Terrace;cfarlow1l@twitpic.com
337639;2018-05-03;244147;59;3;936415;Sullivan;Dzel;37 Browning Drive;bbeeswing1m@cafepress.com
33729;2018-11-21;797781;33;4;5470289;Rutledge;Fershampenuaz;75436 Carberry Pass;scubbino1n@google.co.uk
369936;2018-07-27;569121;35;4;3681711;Buhler;Gevgelija;92454 Delladonna Lane;trapps1o@slashdot.org
829731;2018-04-19;110052;29;2;4397858;Pine View;Bayangol;1933 Butternut Junction;gverzey1p@engadget.com
573917;2018-01-09;514146;2;1;9582290;Washington;Hampton;1834 7th Park;lbennie1q@nasa.gov
265408;2018-10-16;289567;55;3;9777043;Corben;Shīeli;76953 Wayridge Point;pstanbro1r@clickbank.net
644012;2018-03-30;906276;24;2;7444022;Marcy;Marína;8876 Daystar Terrace;bspencock1s@rakuten.co.jp
827307;2018-02-04;877277;14;2;1194816;Mcbride;Cimanggu;12236 Schiller Court;dissacov1t@hhs.gov
143386;2017-12-30;207150;26;3;8533566;Clyde Gallagher;Kyzylorda;743 Dixon Terrace;rreiach1u@japanpost.jp
754444;2018-03-07;587981;2;1;1624314;Village;Santiago De Compostela;8 Barnett Point;skingswoode1v@indiatimes.com
639247;2018-09-24;463344;25;5;8305590;Merry;Smolenskoye;0 Lotheville Junction;olovewell1w@google.com.au
246034;2018-01-01;371021;0;1;5638819;Carberry;Oslo;0865 Park Meadow Place;mcribbins1x@microsoft.com
523251;2018-04-29;87396;18;2;3852458;Warner;Nice;56 Ronald Regan Way;akingman1y@arizona.edu
108591;2018-06-21;432365;21;3;7990313;Ridgeview;Gandoang;217 Lighthouse Bay Lane;bgert1z@twitpic.com
759084;2018-11-01;774393;21;2;8399844;Blaine;Kastsyukowka;48853 Arapahoe Alley;wtaffee20@unicef.org
686958;2018-08-28;788253;28;3;2692498;Maywood;Santa Cruz;4388 Kim Crossing;acosgriff21@gizmodo.com
385415;2018-08-16;904249;1;1;4172353;Knutson;Chiang Khan;313 Pawling Place;agopsall22@mtv.com
850916;2018-03-25;10261;8;1;6934471;Knutson;Landázuri;21 Merry Junction;mrisen23@wordpress.com
892216;2018-05-25;86247;15;3;1371652;Bonner;Inglewood;680 Hoard Road;dkinver24@phoca.cz
396118;2018-04-13;201025;17;2;4949162;Westridge;Jardoeira;6 Almo Street;hpieche25@springer.com
273419;2018-05-21;804712;24;3;4019201;Scoville;Collingwood;5384 Ridgeway Center;abarten26@indiegogo.com
539494;2018-10-22;113061;27;3;9739031;Gale;Raminho;94734 Tennessee Road;gjackett27@hugedomains.com
685184;2018-06-02;604657;40;5;4020311;Dottie;Lichengdao;7601 Del Sol Court;fparkey28@github.com
820178;2018-09-27;956140;57;1;6387394;Jana;Měnín;7075 Graedel Plaza;fchilton29@1und1.de
343197;2018-09-04;881851;51;4;3232946;Oneill;Igbor;23 Jay Lane;djosefson2a@vkontakte.ru
159274;2018-07-20;222241;8;4;5879635;Bay;At Tibnī;0 David Point;prizzone2b@behance.net
799756;2018-01-25;515830;23;5;1575433;Londonderry;Denyshi;5 Beilfuss Trail;awilliscroft2c@reverbnation.com
765713;2018-07-05;32060;48;3;5011980;Trailsway;Zhongchao;10 Corscot Trail;khowse2d@sogou.com
752784;2018-07-07;713850;30;4;6488718;Porter;Jingu;5013 Sullivan Park;vclair2e@bloglovin.com
821825;2018-02-17;816787;35;5;3663774;Bashford;Maji;75 Lyons Way;rmcguffog2f@va.gov
354442;2018-02-12;857052;24;4;6625152;Eagan;Taesal-li;7057 Ilene Parkway;ccregeen2g@spiegel.de
738940;2018-07-31;97473;10;3;8224833;Springs;Santiago de las Vegas;8981 Declaration Center;shannigan2h@cbsnews.com
348170;2018-05-20;605043;46;5;3214425;Grayhawk;Stepojevac;38572 Harper Terrace;tanthonies2i@storify.com
33155;2018-06-16;948924;60;4;6668202;Victoria;Banjar Peguyangan;001 Service Center;ffearon2j@auda.org.au
266433;2018-04-02;214910;19;3;1816314;Hermina;Houzhen;14 Cherokee Plaza;zpollen2k@unblog.fr
752340;2018-05-19;755044;18;2;7512455;Kings;San Esteban;28680 Northport Point;ggrocutt2l@japanpost.jp
373981;2018-06-23;764629;9;5;2354207;Scoville;Kuala Lumpur;695 Mifflin Junction;chuyghe2m@examiner.com
714365;2018-08-05;279810;10;3;4518814;Cherokee;Pokachi;91932 Pearson Circle;esarginson2n@youtube.com
645905;2018-08-29;61112;50;1;8562557;Lukken;Panbang;071 Transport Trail;bdishman2o@acquirethisname.com
625340;2018-02-24;858088;3;4;5186260;Knutson;Hongsung;113 Golf Course Terrace;bmcgarrity2p@infoseek.co.jp
84505;2018-11-06;588308;53;1;864962;Kings;Pierreville;2064 Riverside Drive;nbleazard2q@wordpress.org
880783;2018-05-29;882537;22;2;6913401;Lerdahl;Changxingbao;2 Sugar Pass;uvenus2r@ucsd.edu
44499;2018-01-02;58862;54;5;2732146;Del Mar;Dillenburg;42 Kedzie Way;eblasiak2s@angelfire.com
469563;2018-08-24;805666;57;5;5148610;Springs;Columbus;9 Monument Trail;mhaverson2t@unicef.org
701839;2018-03-06;211577;26;2;1206906;Crescent Oaks;Pyay;860 Havey Lane;klevey2u@home.pl
852943;2018-05-27;682624;13;1;3121607;Little Fleur;Granica;508 Dixon Junction;abromby2v@posterous.com
249117;2018-11-12;303448;26;3;2266212;Merry;Ribeirão Pires;3053 Ruskin Trail;keddowis2w@cmu.edu
540539;2018-03-26;85375;33;3;2224565;Milwaukee;Guadalupe;64 Lighthouse Bay Road;ecleveley2x@4shared.com
914006;2018-02-06;137170;7;4;2311637;Buell;Beoga;59366 Oriole Court;tquarmby2y@oakley.com
69684;2018-09-13;231413;35;1;7874653;East;Balungao;968 Oak Valley Center;mgordongiles2z@posterous.com
862124;2018-07-06;476946;31;4;1062594;Old Shore;Ubá;62269 Bellgrove Center;acranmor30@boston.com
330211;2018-10-15;412245;38;3;1801061;South;Pasirhaur;745 Bunting Junction;kdevonside31@mayoclinic.com
700247;2018-02-07;743550;47;1;7111211;Fairfield;Tsagaannuur;24 Briar Crest Pass;mumpleby32@tinypic.com
185893;2018-07-19;712985;44;3;4446165;Del Sol;Debar;10 Bashford Junction;alytton33@mozilla.org
807448;2018-10-13;514158;14;2;8096596;Cherokee;Kastélli;0802 Fremont Point;mbremond34@bandcamp.com
358959;2018-05-02;769502;60;5;1095220;Mosinee;Saint John’s;01 Dakota Court;croyson35@live.com
968307;2018-05-26;705706;25;2;4033727;Stang;Hita;55 Goodland Place;keadon36@slashdot.org
628191;2018-08-16;640914;2;2;5309504;Heffernan;Kochenëvo;63 Summit Circle;cezzy37@wired.com
373066;2018-02-22;154671;23;1;3455590;Manufacturers;Xinxu;2 Waywood Circle;sladloe38@istockphoto.com
564226;2018-09-04;167368;37;5;7791497;Meadow Valley;Takub;10 Gateway Way;brathjen39@weebly.com
229400;2018-07-21;389441;24;4;916686;Hansons;Berlín;4 Annamark Avenue;ddeneve3a@ezinearticles.com
114425;2018-05-31;404359;27;2;6645792;Bonner;Pyhäntä;020 Delladonna Drive;kbohike3b@sfgate.com
829414;2018-05-30;350446;2;5;1795059;Graedel;Louisville;72 2nd Hill;hparsall3c@google.ca
223861;2018-11-26;720504;7;5;4251706;Brentwood;Vyshniy Volochëk;72 Oak Terrace;cmitskevich3d@blogs.com
273743;2018-09-26;825649;37;4;2380128;Kipling;Quintães;73568 Ridge Oak Way;klongstaff3e@amazonaws.com
249915;2018-05-02;252455;8;5;2905884;Cascade;Bulbul;9 Claremont Point;mchristian3f@admin.ch
169859;2017-12-05;104095;56;1;2164328;Carioca;Kediren;4689 Jackson Hill;psibbet3g@hubpages.com
545927;2018-08-17;667465;28;4;5421078;Southridge;Arco de Baúlhe;27682 Melrose Circle;cbrayne3h@sina.com.cn
539304;2018-06-16;702508;59;1;338963;Main;El Calvario;33979 Hayes Lane;brevell3i@cocolog-nifty.com
626890;2018-11-09;938937;56;4;4939188;Sunfield;Cibaregbeg Dua;0536 Debs Junction;bbadsey3j@taobao.com
598772;2017-12-10;998210;48;4;7536931;Springview;Xipu;9856 Farmco Point;dmccready3k@unicef.org
985015;2017-12-30;2824;59;1;9214797;Victoria;Cimanggu;3 Coolidge Park;ohazelgreave3l@wiley.com
722066;2018-03-21;914354;9;5;2996285;Shopko;Carcavelos;39 Westerfield Park;tburrett3m@usatoday.com
460534;2018-02-22;36893;3;4;8638874;Monterey;Ol’ginka;4 Sommers Terrace;apanniers3n@rakuten.co.jp
360229;2018-11-03;975832;49;1;7252271;Warrior;Ajax;9 Forster Junction;bbackshell3o@tumblr.com
713925;2018-03-07;27722;17;5;8225112;Di Loreto;Barão de Cocais;9 Hooker Alley;lprendeguest3p@home.pl
3437;2018-03-08;383205;44;5;5869611;Hansons;Tamarindo;1007 Maywood Parkway;agilston3q@businesswire.com
988888;2018-06-30;941695;23;2;3477483;Hermina;Wudong;100 Carey Alley;tbothe3r@domainmarket.com
866604;2018-06-25;24670;57;5;5710010;Boyd;Sidorejo;7323 Lakewood Pass;tabatelli3s@fotki.com
897818;2018-02-23;726337;56;5;3962206;Luster;Kayangel;03 Bartelt Trail;aheyward3t@lycos.com
21470;2018-08-14;987755;36;2;1112568;Pepper Wood;Borino;3060 Prairie Rose Center;mleven3u@altervista.org
429829;2018-04-10;904188;15;2;6257815;Nevada;Dolní Černilov;2790 Rusk Road;hsamworth3v@histats.com
59591;2018-10-11;63664;39;5;9931211;Rutledge;Yunlong;8813 Independence Crossing;aeisak3w@census.gov
910061;2018-07-27;504310;10;3;3139624;Troy;Telnice;29 Debra Junction;vnormanell3x@opera.com
101846;2018-01-16;190955;53;3;5586336;Shelley;Kokop;691 Myrtle Terrace;lohalligan3y@chicagotribune.com
998237;2018-07-20;783134;13;2;322595;Colorado;‘Eilabun;69 Prentice Road;sskipperbottom3z@archive.org
766624;2018-11-23;799106;38;3;9366499;Northridge;Kirkton;4 Farragut Hill;larni40@pinterest.com
703400;2018-08-06;266725;18;5;1910328;Elmside;Colegiales;8275 Old Shore Trail;ewallsworth41@quantcast.com
375011;2018-11-07;368925;48;3;8658244;Randy;Ron Phibun;84605 Londonderry Center;cbetun42@trellian.com
307643;2018-06-09;189919;14;3;7613884;Transport;Hanau;7415 Birchwood Crossing;lgreggersen43@flavors.me
701340;2018-09-08;897404;3;3;2138755;Declaration;Midleton;52656 East Place;ttixall44@exblog.jp
99553;2018-08-19;554117;30;1;5453465;Sauthoff;Bojong;7 Thackeray Street;bseldon45@pen.io
652293;2017-12-09;769215;49;3;6405714;Dakota;Lhari;731 Mayer Parkway;grothman46@yale.edu
525002;2018-02-06;457318;52;4;4352940;Eastwood;Veternik;78429 Rusk Pass;inewlands47@fastcompany.com
529798;2017-12-08;830074;18;4;2594716;Eggendart;Sabanalarga;0 Scofield Lane;edering48@oakley.com
690650;2018-06-01;552512;39;3;8931424;Huxley;Górki Wielkie;0 Del Mar Circle;elerwell49@constantcontact.com
597914;2018-07-16;134184;27;3;6662649;Monument;Głuchów;98 Scott Parkway;cthor4a@marriott.com
396470;2018-08-02;106323;23;2;2101192;Havey;Novoukrainskiy;50 Vidon Way;cvlasyuk4b@hatena.ne.jp
22598;2017-12-27;236571;0;1;9090425;Dawn;Khodzha-Maston;3408 Marcy Pass;cscathard4c@edublogs.org
890689;2018-11-12;515091;56;4;7489253;Kings;Gilowice;3397 Sutherland Terrace;mmartello4d@bizjournals.com
225194;2018-06-18;621839;4;5;8102057;Jay;Rybno;18 Russell Junction;dspiers4e@geocities.com
470265;2018-07-25;439470;23;5;430121;Havey;Oral;67 Monterey Lane;abeamond4f@flavors.me
830452;2017-12-14;682356;59;3;3974468;School;Nieying;9 Hanover Crossing;bmacaleese4g@soup.io
535846;2018-04-27;169152;30;1;1021294;Summerview;Nanggela;924 Dawn Crossing;wbauduccio4h@lycos.com
43696;2018-08-03;421976;46;5;1851273;Onsgard;Volkhov;3165 3rd Street;gbradly4i@phpbb.com
607774;2018-07-22;545112;25;1;7333297;Northland;Columbeira;0332 Lotheville Court;rdionisetti4j@wisc.edu
924927;2018-08-24;481732;52;4;4039629;Iowa;Rovira;0 Sommers Hill;kferandez4k@japanpost.jp
48745;2018-10-20;304850;26;1;8917972;Dexter;Ancona;48762 Lukken Trail;cheffernan4l@ftc.gov
630253;2018-01-09;494064;38;4;1162462;Mockingbird;Kurungannyawa;4 Ridgeview Plaza;mbarnes4m@pcworld.com
565813;2018-01-02;540233;1;4;7248079;Clyde Gallagher;Hufang;5 Mcguire Hill;rhacquel4n@cpanel.net
516886;2018-09-10;554117;31;3;6072850;Lien;Guacara;70 Cherokee Trail;kgebbe4o@ibm.com
894754;2018-10-17;198008;27;5;9443507;Thackeray;Kadugede;5 Oakridge Park;hbannell4p@homestead.com
901394;2018-09-23;784518;50;1;3559751;Oakridge;Štore;42840 Truax Terrace;ckira4q@slashdot.org
643563;2018-08-20;468838;29;2;8723772;Redwing;Tawali;027 Hanover Circle;jnoonan4r@phpbb.com
710281;2018-02-18;190089;23;1;322344;Corscot;Shanghu;122 Wayridge Junction;celderton4s@berkeley.edu
897512;2018-11-16;882460;60;2;178743;Debra;Wanshan;737 Upham Hill;lgrono4t@forbes.com
268962;2018-08-15;226148;24;5;6000310;Erie;Gusau;9 Sutherland Trail;lbyer4u@wisc.edu
480360;2018-11-19;335205;55;2;4858020;Donald;Libu;2 Riverside Avenue;mmuino4v@linkedin.com
612298;2018-08-31;281405;5;3;5967656;Cardinal;Hongshanyao;5249 Southridge Drive;gcossom4w@tuttocitta.it
694532;2018-08-21;826500;21;5;8442050;Luster;Koungheul;21 Iowa Alley;mfeldhuhn4x@cyberchimps.com
277324;2018-03-21;162419;54;4;1623701;Swallow;Ntoum;33887 Vermont Lane;rshoubridge4y@boston.com
913621;2017-12-15;205103;31;2;4099206;Milwaukee;Valdosta;0 Hollow Ridge Alley;vkennet4z@utexas.edu
696525;2017-12-21;338035;20;2;4056678;Northwestern;Bagacay;61720 Comanche Circle;nrosario50@answers.com
956195;2018-11-05;226996;5;5;3654775;Crest Line;Gusang;5 Nevada Junction;gmacelroy51@photobucket.com
985733;2018-01-17;457402;50;1;5433873;Reinke;Cicheng;687 Rieder Court;rrubee52@opensource.org
528366;2018-07-11;487864;43;2;7797499;Surrey;Luodong;3258 Lyons Crossing;mogready53@last.fm
755354;2018-09-20;897177;9;3;5718874;Shopko;Kalandagan;983 Brown Way;sfishbourn54@vinaora.com
276257;2018-08-09;611834;54;1;1056212;Hovde;Kamárai;90 Michigan Terrace;sgaenor55@geocities.com
239886;2018-07-20;989007;44;5;3982871;7th;Chadong;28 Drewry Street;lbryceson56@telegraph.co.uk
880883;2018-06-09;866247;55;1;6160075;Nova;Orlando;511 Spaight Plaza;ahatherley57@tripadvisor.com
567862;2018-11-18;704812;26;4;2943498;Riverside;Chikan;2 Green Junction;agowar58@disqus.com
913467;2018-06-20;300753;56;5;2387786;Shelley;Partille;3750 Rieder Junction;elewcock59@nifty.com
954352;2018-01-11;765619;55;5;3671404;Clemons;Ōzu;54169 Armistice Point;edady5a@usda.gov
802058;2018-10-08;322670;32;3;9686354;Stuart;Beiguoyuan;550 Northwestern Street;rchrichton5b@comsenz.com
365450;2018-09-08;429859;0;4;3584269;Lyons;Pensacola;6 Russell Plaza;emateev5c@mapy.cz
616353;2018-03-19;245056;12;4;5567996;Vernon;Hamburg;6512 Sullivan Lane;hfairlaw5d@nydailynews.com
803858;2018-10-07;429063;21;3;7819956;South;Malabugas;791 Rigney Terrace;mvanbrugh5e@youku.com
328450;2018-03-27;629815;15;1;5354508;Talisman;Jiaoshanhe;5 Del Sol Lane;mgateland5f@wiley.com
180307;2018-09-06;732016;37;2;7508603;Jackson;Venlo;66 Lunder Avenue;osqueers5g@comcast.net
215865;2018-04-09;930407;44;4;9977923;Loeprich;Bandar Seri Begawan;7670 Scott Lane;schilton5h@sohu.com
352866;2018-03-16;224141;12;1;8939075;Orin;Chillán;87 Fallview Point;sthumim5i@lycos.com
783187;2018-07-11;623973;32;4;835592;Hagan;Lanhe;91302 Fairfield Drive;jhustings5j@furl.net
203031;2018-03-21;731272;56;1;383435;Maple;Arapongas;44 Milwaukee Park;bhurdwell5k@sciencedirect.com
780972;2018-11-28;471436;0;2;4778632;Calypso;Tran;8785 Acker Place;tmacfie5l@webmd.com
892145;2018-01-22;887202;46;3;2856150;Dixon;Crato;70 Dorton Lane;bmunton5m@fotki.com
810194;2018-07-19;150154;15;2;2131506;Sutherland;Banatski Dvor;963 Florence Way;smerton5n@cyberchimps.com
856251;2018-06-02;92559;4;1;313037;Mesta;Yangfang;7 Bluestem Street;ibrowett5o@oracle.com
449986;2018-05-19;881029;14;4;4654422;Springs;Canhas;916 Fallview Trail;emucci5p@istockphoto.com
268040;2018-01-03;243502;30;2;7502905;Scott;Zapatero;93520 Redwing Park;emccallum5q@smugmug.com
295426;2018-08-17;790481;59;3;1033164;Westridge;Bludov;08613 Spohn Center;ssorro5r@bandcamp.com
496367;2017-12-13;650903;59;3;3460071;Kipling;Kannabechō-yahiro;07568 Drewry Center;ehasser5s@state.tx.us
211415;2018-08-13;927902;12;3;8008992;Mendota;Phú Túc;5 Thierer Avenue;dtheaker5t@list-manage.com
60647;2018-04-10;836180;46;5;9349282;Erie;Vidago;48346 Corscot Place;mbarcke5u@unblog.fr
985421;2018-01-20;29841;12;1;7214051;Reindahl;Banjeru;1 Golden Leaf Hill;bhaffard5v@un.org
457286;2018-01-03;325365;54;1;1634885;Sundown;Zákynthos;2 Fairview Street;kferrettino5w@opera.com
410058;2017-12-19;528204;8;4;1955171;Saint Paul;Xomong;8 Cordelia Way;etwamley5x@wix.com
853714;2018-06-23;695623;32;4;169309;Oak Valley;Verkhnya Rozhanka;13 Manufacturers Park;jmcgarry5y@usa.gov
612563;2018-07-23;937454;43;3;47342;Meadow Vale;Chinju;3 Iowa Circle;mblackborough5z@hugedomains.com
566822;2018-11-30;476692;31;5;2960966;Swallow;Bantian;57569 Mockingbird Drive;blockyer60@utexas.edu
109502;2018-10-17;973331;16;3;480644;Delladonna;Pijao;23078 Saint Paul Place;moglesbee61@hatena.ne.jp
606350;2018-09-02;837192;48;2;9848648;Havey;Beolgyo;31 West Road;bhearl62@hao123.com
2885;2017-12-26;572280;55;3;6861730;School;Amberd;0 Ruskin Drive;azanardii63@skyrock.com
988671;2018-11-28;269306;28;1;971807;Gina;‘Ajlūn;06 Paget Park;clehemann64@statcounter.com
554771;2018-05-29;329363;37;3;8350484;Bayside;Pukë;786 Cody Plaza;khonsch65@hugedomains.com
334673;2018-06-20;1247;20;1;5086906;School;Kwakoa;43 Bonner Plaza;gsaill66@i2i.jp
436540;2018-03-03;498903;12;5;8700161;Harbort;Yukou;9 Pond Parkway;smatzkaitis67@buzzfeed.com
416952;2018-10-01;825209;54;5;4335100;Ridge Oak;Strzelin;36939 Canary Hill;obyles68@acquirethisname.com
297107;2018-06-30;57027;34;4;8342413;Moose;Denov;5 Loftsgordon Plaza;ppetel69@thetimes.co.uk
59186;2018-10-16;739356;17;4;5617220;Oriole;Ulaandel;41 Holmberg Avenue;khallick6a@people.com.cn
502996;2018-01-04;331002;54;3;2892154;Merchant;New Panamao;90414 Springs Court;lburgess6b@artisteer.com
164875;2018-02-11;797554;45;1;6678479;Bartillon;Mayma;085 Dwight Terrace;bwoodley6c@livejournal.com
743957;2018-01-01;482569;53;5;4213726;Longview;Huazhai;786 Rigney Drive;dpinel6d@fc2.com
614811;2018-07-02;868769;26;5;4199552;Fair Oaks;Namur;48677 Fremont Parkway;tmaccleay6e@accuweather.com
869248;2018-06-21;438112;60;2;5152308;Manufacturers;Los Frentones;1061 Fremont Trail;obruyett6f@soundcloud.com
65269;2018-08-06;133168;29;3;658155;Eagan;Pueai Noi;56938 Independence Place;twoolam6g@mysql.com
919962;2018-01-22;558240;54;2;520811;Spaight;Vänersborg;41 South Alley;cmacari6h@latimes.com
588530;2018-09-28;515987;56;3;8428995;Waxwing;Lluchubamba;8 Laurel Place;emcfadin6i@auda.org.au
502284;2018-05-02;977631;52;3;6604849;Bay;Xinxing;1 Coolidge Terrace;bhowship6j@oracle.com
655355;2018-02-13;108299;6;2;2845394;Fordem;Qobustan;99 Schurz Way;aramsbottom6k@europa.eu
437453;2017-12-07;918691;37;4;1480930;Ridge Oak;Buchach;9 Transport Trail;jlawton6l@npr.org
864773;2018-04-10;67360;42;3;6911915;Springs;Nanganumba;9 Mariners Cove Terrace;holongain6m@google.es
96605;2018-01-04;167357;19;2;1326636;Crest Line;Hujigou;01058 Blackbird Court;mlinay6n@xing.com
21926;2018-05-23;594817;14;5;4657319;Mcguire;Xiashuitou;000 Cambridge Circle;cmanners6o@free.fr
437951;2018-07-04;273986;44;5;7210505;Muir;Thuận Nam;2569 Upham Center;wslowan6p@geocities.jp
609783;2018-06-20;721555;53;3;1665991;Sutteridge;Borås;46215 Cottonwood Pass;hdibley6q@rediff.com
